nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
804476;581249;202207;1;999;1;1992;30;3;30;2;0;1;1;2;1;4;1;-13;3446,113913;2250;-13;2250;13;5;5982,477119;4000;2;2;2;1;99;0;0
804483;537133;202207;2;999;1;1992;30;3;30;2;0;1;1;2;1;5;3;-13;3100,480538;2100;2100;2100;13;5;6230,911856;4200;5;5;5;1;99;0;0
804489;590188;202207;1;999;1;1954;68;7;68;3;1;1;1;3;2;2;9;-13; ;-14;-13; ;13;14; ; ;2;2;2;1;1;101;0
804495;529345;202207;1;999;1;1973;49;5;49;4;2;1;5;3;1;5;1;2495;2495;2000;2000;2000;5;4;4383;3670;4;4;4;1;6;0;1
804515;597397;202207;1;999;1;1973;48;5;48;5;3;1;1;3;1;4;1;-13;4354,477309;2750;-13;2750;13;6;8327,150527;5500;5;5;5;0;10; ;0
804516;502838;202207;1;999;1;1972;50;5;50;2;0;1;1;2;1;5;1;2300;2300;3250;-13;3250;5;7;2300;3250;2;2;2;1;2;0;0
804518;535987;202207;2;999;5;1996;26;3;52;3;2;0;5;4;1;3;1;-13;2536,363206;1750;-13;1750;13;4;6824,743084;4850;2;2;2;0;99; ;0
804522;560656;202207;1;999;2;1984;38;4;40;6;4;1;1;3;1;2;1;4750;4750;3200;3200;3200;10;7;10050;6700;5;5;5;1;99;0;0
804534;595129;202207;1;999;5;2009;12;1;52;3;1;1;5;3;1;3;7;0;0;0;0;0;0;0;8019,935086;5430;3;8;1;1;3; ;0
804556;506857;202207;1;999;1;1973;48;5;48;5;3;1;1;3;1;4;1;2234;2234;1800;1800;1800;5;4;3434;2800;6;6;6;1;2;0;0
804562;599349;202207;2;999;2;1979;43;4;48;2;0;1;1;2;1;3;1;2951;2951;2242;2242;2242;6;5;6065;4680;4;4;4;1;2;0;0
804565;527349;202207;1;999;1;1956;65;7;65;2;0;1;1;2;1;2;9;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
804568;540008;202207;2;999;5;1996;26;3;60;4;2;1;5;3;1;4;3;0;0;0;0;0;0;0; ; ;5;5;5;0;2; ;0
804571;541390;202207;2;999;2;1945;76;7;76;2;0;1;1;2;2;2;9;-13;1473,543897;1250;-13;1250;13;3;3659,190441;3000;2;2;2;0;2; ;0
804586;543325;202207;1;999;5;1988;34;3;65;3;1;1;5;3;1;4;1;-13;1726,804868;1250;-13;1250;13;3;5378,587387;3690;4;2;2;0;2; ;0
804607;540667;202207;2;2;2;1954;68;7;73;2;0;1;1;2;2;5;8;-13;962,4422521;851;851;851;13;2;2377,241143;2039;2;8;1;1;10;0;0
804617;518585;202207;1;999;1;1960;62;6;62;1;0;0;5;1;2;2;1;2300;2300;1800;1800;1800;5;4;2300;1800;2;8;1;1;8;202;0
804618;575476;202207;1;999;1;1986;35;4;35;2;0;1;5;2;1;2;1;3251;3251;2469;2469;2469;7;5;6124;4918;5;5;5;1;9;201;0
804626;546792;202207;1;999;1;1940;82;7;82;2;0;1;1;2;1;4;9;2365;2365;1960;1960;1960;5;4;3227;2756;5;5;5;1;2;0;0
804640;505684;202207;2;2;2;1961;61;6;60;2;0;1;1;2;1;4;8;-13;4176,527188;2750;-13;2750;13;6;7981,506955;5200;4;4;4;1;10;201;0
804641;521102;202207;2;999;2;1954;68;7;69;2;0;1;1;2;2;2;9;-13;837,9462705;750;-13;750;13;2;3023,592815;2500;2;2;2;1;7;0;0
804645;501616;202207;2;2;2;1981;40;4;46;4;2;1;1;3;1;4;10;-13;2166,627368;1560;1560;1560;13;4;5083,627368;3910;4;4;4;0;10;0;0
804655;524161;202207;2;999;1;1956;66;7;66;1;0;0;3;1;1;5;9;2500;2500;1600;1600;1600;5;4;2500;1600;4;2;2;1;8;0;0
804662;590129;202207;2;999;5;2011;11;1;42;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;4720,284456;3300;3;1;1;1;9; ;0
804666;501699;202207;2;999;5;2006;15;2;48;5;3;1;5;3;1;4;7;0;0;0;0;0;0;0;5600;3500;4;2;2;1;7; ;0
804672;541262;202207;1;999;1;1963;59;6;59;4;2;1;1;3;1;4;1;4050;4050;2800;2800;2800;9;6;9841,22695;7050;6;5;5;1;2;0;0
804675;505657;202207;2;999;1;1949;72;7;72;1;0;0;4;1;1;4;9;-13;3699,984061;2775;2775;2775;13;6;3699,984061;2775;2;2;2;1;8;0;0
804704;534168;202207;1;1;1;1998;24;2;24;1;0;0;5;1;2;1;1;-13;2492,947224;1700;1700;1700;13;4;2492,947224;1700;6;6;6;1;10;0;0
804714;569128;202207;1;999;5;2005;17;2;57;3;1;1;5;3;1;5;7;0;0;0;0;0;0;0;4750;3330;2;2;2;1;2;0;0
804718;596902;202207;1;999;1;1973;49;5;49;2;0;1;1;2;1;2;1;-13;6273,607925;3750;-13;3750;13;8;12746,60793;7904;6;6;6;0;6; ;0
804721;581909;202207;1;999;1;1944;77;7;77;2;0;1;1;2;1;5;9;-13;1497,393186;1250;1250;1250;13;3;1497,393186;1250;3;3;3;0;2;0;0
804736;519064;202207;1;999;3;1975;47;5;47;4;2;1;5;3;1;1;1;3500;3500;2600;2600;2600;7;6;6325;4800;3;3;3;0;2; ;0
804760;559368;202207;2;999;2;1991;30;3;37;4;2;1;1;3;1;3;1;-13;2536,363206;1750;-13;1750;13;4;5586,363206;4100;5;5;5;1;99;0;0
804763;563500;202207;2;999;2;1974;48;5;49;5;3;1;1;3;2;2;1;-13;972,6591564;750;-13;750;13;2;1936,012279;1500;6;6;6;1;2; ;0
804764;537059;202207;1;999;5;2007;15;2;50;3;1;1;5;3;1;4;7;0;0;0;0;0;0;0;7211,074364;4944;3;1;1;1;10; ;0
804776;537780;202207;2;999;1;1945;77;7;77;1;0;0;4;1;1;2;9;4427;4427;3200;3200;3200;9;7;4427;3200;6;6;6;1;8;201;0
804780;539128;202207;1;999;2;1954;67;7;69;2;0;1;1;2;1;4;9;-13;1473,543897;1250;-13;1250;13;3;2970,937083;2500;6;6;6;0;10; ;0
804783;596850;202207;1;999;1;1967;54;5;54;6;4;1;1;3;1;2;3;3500;3500;2500;2500;2500;7;5; ; ;5;5;5;0;10; ;0
804787;576919;202207;2;999;5;2018;4;1;47;4;2;0;5;4;1;2;14;0;0;0;0;0;0;0;2679,662285;2280;9;9; ;1;99; ;1
804806;566232;202207;2;999;2;1951;70;7;74;2;0;1;1;2;1;5;8;-13;915,349731;813;813;813;13;2;2148,718931;1863;4;4;4;1;2;0;0
804828;540246;202207;1;999;1;1949;72;7;72;1;0;0;4;1;1;1;9;-13;2982,656561;2300;2300;2300;13;5;2982,656561;2300;5;5;5;1;9;102;0
804835;555148;202207;2;999;7;2022;0;1;29;7;0;1;5;2;2;5;14;0;0;0;0;0;0;0;13309,99829;9500;9;9; ;1;2; ;0
804874;570712;202207;2;2;1;1983;38;4;38;2;0;1;1;2;1;3;1;4500;4500;3180;3180;3180;9;7;8900;5936;6;6;6;1;10;0;0
804896;526118;202207;1;999;6;1978;43;4;26;2;0;0;5;5;1;1;1;2700;2700;2150;2150;2150;6;5;5700;4400;1;1;1;1;9;101;0
804916;590579;202207;1;999;1;1957;65;7;65;2;0;1;1;2;1;4;1;2800;2800;2250;-13;2250;6;5;5000;4000;2;7;1;1;2;0;0
804923;539713;202207;2;999;3;1964;57;6;60;3;1;1;3;3;2;4;1;-13;2619,935086;1800;1800;1800;13;4; ; ;4;4;4;1;10; ;0
804925;597708;202207;1;999;1;1967;55;6;55;4;2;1;1;3;1;5;1;5000;5000;3000;3000;3000;10;6;5000;3000;5;5;5;1;3;0;0
804949;548345;202207;2;999;2;1946;76;7;77;2;0;1;1;2;1;1;9;2350;2350;1950;1950;1950;5;4;6200;4800;6;6;6;1;2;0;0
804959;589672;202207;1;999;5;1999;22;2;52;4;2;1;5;3;1;4;1;-13;2703,949855;1850;1850;1850;13;4;10614,54796;7294;4;4;4;0;8;0;0
