nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800001;535121;202207;1;1;1;1961;61;6;61;2;0;1;5;2;1;3;4;-13;2247,016362;1588;1588;1588;13;4;3625,836483;2636;5;5;5;1;10;201;0
800002;521889;202207;1;1;1;1976;45;5;45;6;4;1;1;3;1;4;1;4250;4250;2700;2700;2700;9;6;6520;4180;4;4;4;1;10;0;0
800009;559835;202207;1;999;1;1955;67;7;67;2;0;1;1;2;1;5;1;-13;4314,02756;3100;3100;3100;13;7;6278,449811;4500;5;5;5;1;7;0;0
800015;568664;202207;1;999;1;1962;59;6;59;3;1;1;1;3;1;1;1;4519;4519;3005;3005;3005;10;7;4813,454229;3255;6;6;6;1;3;102;0
800028;542295;202207;1;1;1;1950;71;7;71;2;0;1;1;2;1;1;9;-13;3432,794046;2600;2600;2600;13;6;4582,672777;3600;6;3;3;1;10;0;0
800041;554273;202207;1;999;5;1997;24;2;45;5;3;1;5;3;1;5;1;-13;3391,22695;2250;-13;2250;13;5;9660,696109;6500;5;5;5;0;9; ;0
800057;580532;202207;1;999;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;9000;6;6;6;1;2;0;0
800058;580573;202207;2;999;1;1997;24;2;24;1;0;0;5;1;2;1;7;700;700;750;-13;750;2;2;700;750;6;5;5;1;9;0;0
800085;545773;202207;1;999;1;1977;45;5;45;1;0;0;5;1;1;5;1;3360;3360;2250;-13;2250;7;5;3360;2250;5;4;4;1;7;0;0
800091;515359;202207;1;999;1;1983;38;4;38;2;0;1;5;2;1;4;1;2300;2300;1950;1950;1950;5;4;7236;4900;4;4;4;0;99; ;0
800100;518099;202207;2;999;2;1990;31;3;36;3;1;1;1;3;2;1;1;2000;2000;1800;1800;1800;4;4;3845;3330;4;4;4;1;7;102;0
800106;577294;202207;1;999;5;2008;14;1;54;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;7772;5400;1;8;1;1;2; ;0
800119;537783;202207;2;999;1;1950;72;7;72;4;2;1;1;3;2;3;9;-13;548,5479617;500;500;500;13;1; ; ;2;2;2;1;2;101;0
800126;587801;202207;1;999;1;1966;56;6;56;3;1;1;1;3;1;1;2;-13; ;-14;-13; ;13;14; ; ;6;6;6;0;9; ;0
800127;526726;202207;2;999;1;1983;38;4;38;1;0;0;3;1;1;1;1;3000;3000;2100;2100;2100;6;5;3000;2100;5;4;4;1;9;0;0
800128;596466;202207;2;999;1;1996;26;3;26;3;0;0;5;5;2;3;1;-13;1211,502568;900;900;900;13;2;6305,452422;4750;2;2;2;1;8;0;0
800131;537240;202207;2;999;1;1954;68;7;68;2;0;1;1;2;1;5;9;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;3;0;0
800136;572724;202207;1;1;1;1962;60;6;60;4;2;1;1;3;1;2;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;10;0;0
800156;573442;202207;2;2;3;1974;48;5;56;5;3;1;3;3;1;2;1;-13;2288,379878;1600;1600;1600;13;4;12295,80312;8400;4;2;2;1;10;0;0
800161;561404;202207;1;999;1;1970;52;5;52;3;1;1;3;3;1;4;3;-13;8612,544493;5000;5000;5000;13;10;11571,12727;7000;5;5;5;1;2;0;1
800162;526501;202207;2;999;5;2011;11;1;39;3;2;0;5;4;2;1;7;0;0;0;0;0;0;0;2550;2100;1;8;1;1;10; ;0
800170;520571;202207;2;999;1;1958;63;6;63;2;1;0;3;4;1;2;1;2938;2938;2100;2100;2100;6;5;5238;4200;4;4;4;1;2;0;0
800182;560835;202207;2;2;3;1986;36;4;33;2;0;1;5;2;1;3;1;-13;2924,411462;1980;1980;1980;13;4; ; ;6;5;5;1;10;0;0
800186;534976;202207;2;999;1;1939;83;7;83;2;0;0;4;5;1;3;8;-13;2185,646544;1750;-13;1750;13;4;4227,646544;3500;2;2;2;1;2;0;0
800192;531591;202207;2;999;5;2003;19;2;51;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;8365,442702;5350;4;2;2;0;2;0;0
800201;529760;202207;1;999;2;1973;49;5;49;2;0;1;1;2;2;4;1;2200;2200;1900;1900;1900;5;4;4600;3850;4;4;4;1;2;0;0
800204;555221;202207;1;999;1;1942;80;7;80;2;0;1;1;2;1;2;9;1973;1973;1559;1559;1559;4;4;2784;2273;2;2;2;1;2; ;0
800212;553187;202207;2;2;1;1994;27;3;27;1;0;0;1;1;1;4;7;-13;2512,096244;1750;-13;1750;13;4;2512,096244;1750;5;5;5;1;10;0;0
800213;560256;202207;1;999;9;1917;104;7;79;3;0;1;4;2;1;5;9;0;0;0;0;0;0;0;8200;5850;3;3;3;0;3; ;0
800215;594257;202207;2;999;1;1992;30;3;30;2;0;1;1;2;2;1;1;5600;5600;3600;3600;3600;11;8;12000;7700;5;5;5;1;9;0;0
800216;598019;202207;1;999;1;1958;64;6;64;2;0;1;1;2;1;5;10;3500;3500;2315;2315;2315;7;5;7125;4790;4;4;4;1;8;0;0
800228;568560;202207;1;999;1;1952;69;7;69;2;0;1;1;2;1;2;9;4800;4800;3000;3000;3000;10;6;6661,864204;4540;6;6;6;1;2;0;0
800239;551681;202207;1;999;5;2004;18;2;47;4;3;0;5;4;1;2;7;250;250;250;250;250;1;1;3250;2600;3;1;1;1;9;0;0
800257;530808;202207;1;999;5;2005;17;2;59;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0; ; ;2;2;2;0;10; ;0
800274;523678;202207;2;999;2;1980;42;4;47;3;1;1;1;3;1;5;1;-13;3478,943411;2300;2300;2300;13;5;7184,949323;4800;4;4;4;0;6;0;0
800289;539959;202207;2;999;2;1953;68;7;68;2;0;1;1;2;1;4;9;-13;1807,538909;1500;1500;1500;13;3;3644,332812;3000;2;2;2;1;3;0;0
800300;572646;202207;1;1;1;1963;58;6;58;2;0;1;1;2;1;5;1;4250;4250;2611;2611;2611;9;6;6565;4311;5;5;5;1;10;0;0
800309;573933;202207;1;999;3;1981;41;4;42;6;4;1;5;3;2;3;5;0;0;0;0;0;0;0;2050;2050;2;1;1;0;9; ;0
800329;596481;202207;1;999;1;1957;65;7;65;2;0;1;1;2;1;3;9;-13;2908,644755;2250;-13;2250;13;5;5279,222513;3900;5;5;5;0;1; ;0
800360;547378;202207;1;999;1;1952;70;7;70;2;0;1;1;2;1;2;9;-13;2615,623285;2050;2050;2050;13;5;3829,348361;3100;5;5;5;1;2;0;0
800372;590005;202207;1;999;1;1990;32;3;32;1;0;0;3;1;2;4;1;3309;3309;2655;2655;2655;7;6;3309;2655;5;4;4;1;99;0;0
800380;563251;202207;1;999;5;2003;19;2;55;4;2;1;5;3;1; ;1;1500;1500;1400;1400;1400;3;3;9216;7300;7;7;1;1;10; ;0
800392;519542;202207;1;999;1;1962;59;6;59;3;1;1;1;3;1;5;4;3294;3294;2183;2183;2183;7;5;5994;4083;4;4;4;1;9;0;0
800394;599529;202207;1;999;5;1989;32;3;70;3;1;1;5;3;1;1;1;-13;3391,22695;2250;-13;2250;13;5;7591,22695;5721;2;2;2;0;9; ;0
800405;528805;202207;1;999;5;1995;26;3;58;3;1;1;5;3;1;4;1;1900;1900;1650;1650;1650;4;4;7800;5350;7;4;4;0;2; ;0
800417;589894;202207;2;999;2;1978;44;4;42;4;2;1;1;3;1;5;1;2000;2000;1500;1500;1500;4;3;9500;5500;4;4;4;0;10; ;0
800424;504037;202207;2;999;2;1958;64;6;68;2;0;1;1;2;1;3;8;0;0;0;0;0;0;0;4840,205484;3500;3;3;3;0;2;0;0
800438;511346;202207;2;999;2;1955;67;7;64;2;0;1;1;2;1;3;9;3500;3500;2102;2102;2102;7;5;9500;6202;5;5;5;0;9;201;0
800440;572959;202207;2;999;3;1988;34;3;29;2;0;1;5;2;1;5;3;3700;3700;2000;2000;2000;8;4;8400;5400;5;5;5;1;99;0;0
800445;528967;202207;2;999;1;1976;46;5;46;4;2;1;1;3;1;5;1;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;6;0;0
800463;598452;202207;1;999;1;1990;31;3;31;1;0;0;5;1;4;3;1;2628;2628;2189;2189;2189;6;5;2628;2189;5;4;4;1;7;101;0
800465;517791;202207;1;999;1;1965;57;6;57;3;2;0;3;4;2;3;8;-13;1710,283453;1250;-13;1250;13;3; ; ;4;4;4;1;10; ;0
800481;511528;202207;2;999;5;2020;1;1;36;4;2;1;5;3;1;3;14;0;0;0;0;0;0;0;7171;5208;9;9; ;1;9; ;0
800497;542214;202207;2;999;2;1943;79;7;79;2;0;1;1;2;1;5;8;-13;899,308248;800;800;800;13;2;2599,308248;2200;3;3;3;1;2;0;0
800500;564401;202207;1;999;1;1952;69;7;69;2;0;1;1;2;2;4;9;1520;1520;1294;1294;1294;4;3;2349;2057;2;1;1;1;99;0;0
800501;534090;202207;2;2;1;1973;49;5;49;4;2;1;1;3;1; ;1;4346;4346;2814;2814;2814;9;6;7804,98408;5669;6;6;6;1;10;0;0
800543;582388;202207;1;999;5;1999;23;2;64;4;2;1;5;3;1;4;1;2500;2500;2200;2200;2200;5;5;10275;8350;3;3;3;0;1;0;0
800555;520098;202207;2;999;5;2013;9;1;42;3;2;0;5;4;1;5;14;0;0;0;0;0;0;0;5000;2900;9;9; ;1;7; ;0
800558;503402;202207;2;999;2;1953;68;7;74;2;0;1;1;2;1;3;9;-13;837,9462705;750;-13;750;13;2;2737,94627;2250;2;2;2;0;2; ;0
800561;538217;202207;2;999;3;1989;32;3;39;2;0;1;5;2;1;2;1;3043;3043;2166;2166;2166;7;5;5543;4166;5;5;5;1;99;0;0
800570;548394;202207;1;999;1;1977;44;4;44;4;2;1;1;3;1;4;1;5000;5000;2750;2750;2750;10;6;6200;3950;5;5;5;1;7;0;0
800571;550755;202207;1;1;1;1934;88;7;88;2;0;1;1;2;1;5;9;2119;2119;1695;1695;1695;5;4;3119;2546;2;2;2;1;10;0;0
800575;565831;202207;2;2;1;1985;36;4;36;4;2;1;1;3;1;5;1;3608;3608;2709;2709;2709;8;6;7058;5109;6;6;6;1;10;0;0
800576;526409;202207;1;999;1;1938;84;7;84;2;0;1;1;2;1;3;9;-13;3585,070494;2700;2700;2700;13;6;6814,419254;5200;5;5;5;0;3;0;0
800585;502426;202207;2;999;1;1964;58;6;58;2;1;0;5;4;1;3;3;-13; ;-13;-13; ;13;13; ; ;7;7;1;0;2;0;0
800587;547666;202207;2;999;2;1993;29;3;29;5;0;1;1;2;2;5;1;-13;3391,22695;2250;-13;2250;13;5;15819,79476;10950;3;2;2;0;10; ;0
800611;569111;202207;1;1;2;1982;40;4;38;4;1;1;1;3;1; ;1;-13;3833,60094;2500;2500;2500;13;5; ; ;3;3;3;1;10;101;0
800633;530682;202207;2;999;5;2021;1;1;45;7;5;1;5;3;1;5;14;0;0;0;0;0;0;0;7727;5188;9;9; ;1;9; ;0
800651;543468;202207;1;999;1;1990;32;3;32;6;0;0;5;5;1;1;1;-13;4354,477309;2750;-13;2750;13;6;11884,42076;8450;6;6;6;0;9; ;0
800659;537734;202207;1;999;1;1940;82;7;82;2;0;1;1;2;1;5;9;2400;2400;2000;2000;2000;5;4;3250;2800;3;3;3;1;1;0;0
800671;568484;202207;1;999;1;1952;70;7;70;2;0;1;1;2;1;4;9;-13;2908,644755;2250;2250;2250;13;5;3807,953003;3050;4;4;4;1;2;0;0
800674;556823;202207;1;999;1;1956;65;7;65;2;0;0;2;5;1;2;1;-13;3289,818254;2450;2450;2450;13;5;6007,355759;4600;6;5;5;1;2; ;0
800677;529798;202207;1;999;1;1997;25;3;25;1;0;0;5;1;2;1;7;1500;1500;1400;1400;1400;3;3;1500;1400;6;6;6;1;99;0;0
800691;530365;202207;1;1;1;1963;59;6;59;2;0;1;1;2;1;5;1;2183;2183;1704;1704;1704;5;4;4658;3588;2;2;2;1;10;0;0
800695;545089;202207;2;999;1;1941;81;7;81;1;0;0;4;1;2;2;9;-13;1781,830841;1460;1460;1460;13;3;1781,830841;1460;2;2;2;1;2;0;1
800697;531983;202207;1;1;5;1997;24;2;60;6;4;1;5;3;1;4;13;-13;1381,78664;1050;1050;1050;13;3;13332,88008;9050;3;3;3;1;10;0;0
800701;596902;202207;2;999;2;1979;43;4;49;2;0;1;1;2;1;2;1;6473;6473;4154;4154;4154;11;9;12746,60793;7904;6;6;6;1;6;0;0
800714;530316;202207;2;999;1;1979;42;4;42;1;0;0;5;1;1;4;1;4930;4930;3250;3250;3250;10;7;4930;3250;5;5;5;1;8;0;0
800722;582529;202207;1;999;1;1984;38;4;38;2;0;1;5;2;2;2;1;1950;1950;1750;1750;1750;4;4;3795;3337;2;2;2;0;9; ;0
800731;589323;202207;1;1;1;1951;71;7;71;2;0;1;1;2;1;4;9;-13;1631,958939;1350;1350;1350;13;3;2643,039936;2240;2;2;2;1;10;0;0
800750;536340;202207;2;999;2;1962;59;6;63;2;0;1;1;2;1;5;1;2600;2600;2200;2200;2200;6;5;8972,81394;6000;6;6;6;1;2;0;0
800762;500531;202207;2;999;2;1971;51;5;52;5;3;1;1;3;1;4;1;3000;3000;2000;2000;2000;6;4;11500;7500;5;5;5;1;2;0;0
800771;553328;202207;2;999;1;1969;52;5;52;2;0;1;3;2;2;2;3;4500;4500;3000;3000;3000;9;6;7500;6000;5;5;5;1;9;0;0
800775;542581;202207;1;999;1;1969;53;5;53;5;3;1;4;3;1;5;1;4953;4953;2900;2900;2900;10;6;7984;5256;6;6;6;1;6;0;0
800778;511151;202207;2;999;1;1960;62;6;62;1;0;0;3;1;2;5;1;1897;1897;1750;-13;1750;4;4;1897;1750;5;5;5;1;6;0;0
800789;560556;202207;2;2;3;1980;41;4;42;7;5;1;5;3;1;4;1;2800;2800;2250;2250;2250;6;5;6596,9225;4750;3;3;3;1;10;0;0
800829;518762;202207;2;2;5;2004;17;2;50;4;3;0;5;4;1;3;7;250;250;250;250;250;1;1;14500;8200;3;3;3;1;10;0;0
800840;515943;202207;2;999;2;1959;63;6;67;2;0;1;1;2;2;4;8;0;0;0;0;0;0;0;2700;1852;2;2;2;0;9; ;0
800845;501074;202207;1;999;5;2011;10;1;43;7;5;1;5;3;1;2;7;0;0;0;0;0;0;0;5000;3015;1;8;1;1;3; ;0
800848;509775;202207;1;999;1;1986;35;4;35;1;0;0;5;1;9;5;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;99;0;0
800859;550374;202207;1;999;1;1990;31;3;31;2;0;1;5;2;1;4;1;5000;5000;3700;3700;3700;10;8;9200;6700;6;6;6;1;9;0;0
800869;587496;202207;1;999;1;1955;66;7;66;2;0;1;1;2;1;3;9;-13; ;-13;-13; ;13;13; ; ;2;2;2;1;2;0;0
800881;543600;202207;1;999;1;1940;82;7;82;1;0;0;4;1;2;5;9;-13;2099,7014;1689;1689;1689;13;4;2099,7014;1689;2;2;2;1;2;0;0
800884;531535;202207;2;999;3;1991;30;3;36;2;0;1;5;2;2;4;1;-13;3130,431318;2100;2100;2100;13;5;6755,207626;4450;5;5;5;0;10; ;0
800894;547476;202207;2;999;1;1948;73;7;73;1;0;0;4;1;2;3;9;1200;1200;1000;1000;1000;3;2;1200;1000;2;2;2;1;2;102;1
800900;539182;202207;2;999;1;1995;27;3;27;1;0;0;5;1;2;1;1;-13;3535,250064;2300;2300;2300;13;5;3535,250064;2300;6;5;5;1;99;0;0
800903;594616;202207;1;999;1;1971;50;5;50;5;3;1;1;3;1;1;1;4590;4590;2800;2800;2800;10;6;4590;2800;5;5;5;1;2;0;0
800904;533756;202207;1;1;1;1978;44;4;44;1;0;0;5;1;1;1;1;3700;3700;2705;2705;2705;8;6;3700;2705;5;5;5;0;10;101;0
800909;512649;202207;2;999;2;1978;43;4;44;4;2;1;1;3;1;5;1;2767;2767;2300;2300;2300;6;5;9967;6550;5;5;5;1;1;0;0
800915;513195;202207;1;999;5;2016;6;1;43;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;7700;5300;1;8;1;1;6; ;0
800930;575732;202207;1;999;5;1992;29;3;58;4;2;1;5;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;3;3;1;2;0;0
800940;578987;202207;2;999;5;2006;15;2;46;4;2;1;5;3;1;5;7;-13; ; ;-13; ;13; ; ; ;3;8;1;1;10; ;0
800985;521520;202207;1;999;5;2005;17;2;48;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;5658,780976;4150;3;1;1;1;6;0;0
800988;515182;202207;2;999;1;1968;54;5;54;3;2;0;3;4;1;5;10;-13;1699,417365;1243;1243;1243;13;3;1699,417365;1243;4;4;4;1;7;201;0
800994;579544;202207;1;999;1;1950;71;7;71;1;0;0;3;1;1;5;9;-13;2399,152378;1900;1900;1900;13;4;2399,152378;1900;4;4;4;1;2;0;0
801000;581948;202207;2;999;5;2005;17;2;46;3;2;0;5;4;1;2;7;0;0;0;0;0;0;0;2200;1800;3;1;1;1;7;0;0
801004;512380;202207;1;999;1;1961;60;6;60;1;0;0;3;1;1;4;1;3730;3730;2760;2760;2760;8;6;3730;2760;2;2;2;1;2;0;0
801011;541976;202207;1;1;1;1958;64;6;64;1;0;0;5;1;1;2;4;-13;2512,096244;1750;-13;1750;13;4;2512,096244;1750;6;5;5;1;10;0;0
801012;502296;202207;1;1;1;1954;67;7;67;2;0;1;1;2;1;5;1;7500;7500;3200;3200;3200;11;7;8778,026137;4300;6;5;5;1;10;0;0
801022;573114;202207;1;999;1;1947;74;7;74;2;0;1;1;2;1;4;9;-13;2185,646544;1750;-13;1750;13;4;3285,646544;2500;4;4;4;0;1;0;0
801031;583963;202207;1;999;1;1972;50;5;50;4;2;1;1;3;1;3;1;-13;5782,023524;3500;3500;3500;13;7;11073,11718;7300;4;4;4;1;2;0;0
801047;532432;202207;2;2;1;1953;69;7;69;1;0;0;3;1;1;2;9;4000;4000;2400;2400;2400;8;5;4000;2400;6;6;6;1;10;201;0
801050;569946;202207;1;1;1;1977;45;5;45;1;0;0;3;1;1;2;1;7750;7750;4246;4246;4246;12;9;7750;4246;6;5;5;1;10;0;0
801055;515383;202207;2;999;3;1963;59;6;54;2;0;1;5;2;1;1;3;-13;4625,03837;3000;3000;3000;13;6;9827,268141;6200;4;4;4;1;2;201;0
801060;537627;202207;1;999;5;2013;9;1;55;5;3;1;5;3;1;2;7;-13;0;0;0;0;13;0; ; ;1;8;1;1;10; ;0
801066;558805;202207;1;999;5;2006;15;2;46;3;2;0;5;4;1;5;7;0;0;0;0;0;0;0;5200;3450;2;8;1;1;10; ;0
801068;502505;202207;2;999;2;1976;45;5;47;4;2;1;1;3;1;5;1;-13;1703,308643;1235;1235;1235;13;3;5417,996421;3635;5;5;5;1;2;0;0
801086;599945;202207;2;999;5;2010;12;1;43;4;2;1;5;3;1;2;7;-13; ; ;-13; ;13; ; ; ;9;9; ;1;3; ;0
801089;577102;202207;2;999;2;1971;50;5;53;2;0;1;1;2;1;5;8;0;0;0;0;0;0;0;8012;4080;3;3;3;0;2;0;0
801092;538812;202207;1;999;5;2008;14;1;42;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;5569,441318;3765;3;8;1;1;8; ;0
801107;554714;202207;1;999;5;2010;11;1;39;5;3;1;5;3;1;3;7;0;0;0;0;0;0;0;7800;4700;1;8;1;1;3; ;0
801132;565264;202207;2;999;2;1954;68;7;69;2;0;1;1;2;2;5;9;-13;1149,878731;1000;1000;1000;13;2;2580,612499;2200;4;4;4;1;6;0;0
801144;592770;202207;1;999;1;1967;54;5;54;1;0;0;5;1;1;2;1;5297;5297;3394;3394;3394;11;7;5297;3394;6;6;6;1;2;102;0
801165;519534;202207;2;999;1;1942;79;7;79;1;0;0;4;1;2;1;9;-13;1631,958939;1350;1350;1350;13;3;1631,958939;1350;3;3;3;1;3;0;0
801167;562526;202207;2;999;1;1982;39;4;39;3;2;0;5;4;1;3;1;2795;2795;2150;2150;2150;6;5;2795;2150;5;4;4;1;9;202;0
801174;526055;202207;2;999;1;1950;71;7;71;2;0;1;4;2;1;3;9;-13;2185,646544;1750;1750;1750;13;4;3515,433003;2890;2;2;2;1;2;0;0
801205;575360;202207;1;999;1;1955;67;7;67;2;0;1;1;2;1;1;9;5000;5000;3000;3000;3000;10;6;7000;4000;6;6;6;1;7;101;0
801211;548083;202207;1;999;1;1977;45;5;45;4;2;1;1;3;1;1;1;-13;3535,250064;2300;2300;2300;13;5;6493,832845;4300;5;4;4;1;7;102;0
801214;560919;202207;1;999;1;1959;63;6;63;2;0;1;1;2;1;3;1;5000;5000;3300;3300;3300;10;7;5280;3560;5;5;5;1;8;0;0
801216;579268;202207;1;1;1;1977;44;4;44;1;0;0;5;1;1;4;1;-13;3624,776308;2350;2350;2350;13;5;3624,776308;2350;4;4;4;1;10;0;0
801221;594366;202207;2;999;2;1984;38;4;41;3;1;1;1;3;1;4;1;1400;1400;750;-13;750;3;2;4600;3500;4;4;4;0;10; ;0
801229;559695;202207;1;999;1;1957;65;7;65;3;1;1;1;3;1;3;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801245;533007;202207;1;999;5;1999;23;2;56;5;3;1;5;3;1;4;7;0;0;0;0;0;0;0;4628,077658;3000;6;3;3;1;6;0;0
801257;552076;202207;2;999;1;1992;29;3;29;2;1;0;3;4;2;1;1;-13;3446,113913;2250;-13;2250;13;5;3446,113913;2250;4;4;4;1;99;0;0
801261;518530;202207;1;999;5;2018;3;1;29;4;2;1;5;3;1;1;14;0;0;0;0;0;0;0;5722;4700;9;9; ;1;99; ;0
801266;556906;202207;2;999;5;1991;31;3;59;4;2;1;1;3;1;4;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;0;2;0;0
801268;515841;202207;1;1;1;1964;57;6;57;3;1;1;1;3;2;2;3;-13;4153,983716;2700;2700;2700;13;6;6773,918802;4500;5;5;5;1;10;0;0
801272;506631;202207;2;999;2;1971;50;5;54;3;1;1;1;3;1;3;8;1200;1200;1050;1050;1050;3;3;11100;6650;2;2;2;0;7;0;0
801278;539883;202207;1;999;1;1947;75;7;75;2;0;1;1;2;1;1;8;1289;1289;1117;1117;1117;3;3;2534;2226;2;2;2;1;9;102;0
801287;581710;202207;2;999;1;1956;66;7;66;2;0;0;4;5;1;5;1;4500;4500;3200;3200;3200;9;7;4500;3200;3;3;3;1;2;0;0
801300;502993;202207;1;999;1;1969;52;5;52;4;2;1;1;3;1;4;1;15000;15000;8800;8800;8800;12;12;15948,0096;9550;6;6;6;1;2;0;0
801330;549951;202207;2;999;2;1942;79;7;82;2;0;1;1;2;2;2;9;1300;1300;1180;1180;1180;3;3;4000;3280;4;4;4;1;6;0;0
801361;508010;202207;2;999;1;1972;50;5;50;5;3;1;1;3;1;5;1;3000;3000;1700;1700;1700;6;4;6500;3500;5;5;5;1;7;0;0
801372;596226;202207;1;999;1;1988;34;3;34;2;0;1;5;2;1;4;1;4100;4100;2700;2700;2700;9;6;7491,22695;4950;6;5;5;1;9;0;0
801380;502371;202207;1;999;1;1952;70;7;70;2;0;1;1;2;1;5;9;-13;1497,393186;1250;-13;1250;13;3;2445,402785;2000;2;2;2;0;10; ;0
801386;575621;202207;2;2;1;1980;42;4;42;2;1;0;5;4;2;5;8;-13;1353,035083;1016;1016;1016;13;3;1353,035083;1016;3;3;3;1;10;201;0
801388;557397;202207;2;999;5;1996;25;3;51;5;3;1;5;3;1;5;7;-13;2472,085572;1750;-13;1750;13;4;11754,45586;8312;6;5;5;0;2;0;0
801395;569111;202207;2;999;3;2007;14;1;38;4;1;1;5;3;1; ;7;-13; ;-14;-13; ;13;14; ; ;3;2;2;1;10; ;0
801409;515118;202207;2;999;2;1957;64;6;66;2;0;1;1;2;1;2;3;2000;2000;1250;-13;1250;4;3;6000;3500;2;2;2;0;8; ;0
801412;552243;202207;2;999;2;1966;55;6;59;3;1;1;1;3;1;5;1;2983;2983;2161;2161;2161;6;5;12473;8302;5;5;5;1;2;0;0
801428;575070;202207;1;999;1;1963;59;6;59;4;2;1;1;3;1;5;1;-13;6572,096763;3900;3900;3900;13;8; ; ;6;3;3;0;2;0;0
801452;505813;202207;1;999;5;1993;28;3;64;3;1;1;5;3;1;3;1;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;2;0;0
801453;500094;202207;2;2;1;1970;52;5;52;2;0;1;1;2;1;1;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;10;0;0
801459;588592;202207;2;999;3;1994;28;3;28;2;0;1;5;2;1;1;1;2150;2150;1750;-13;1750;5;4;5770;4090;4;4;4;0;10; ;0
801467;534283;202207;1;999;1;1948;73;7;73;1;0;0;4;1;1;5;9;4000;4000;2500;2500;2500;8;5;4000;2500;4;4;4;1;6;0;0
801470;523336;202207;2;999;1;1969;53;5;53;4;2;1;1;3;1;2;1;5112;5112;3000;3000;3000;11;6; ; ;6;6;6;1;1;0;0
801477;575454;202207;2;999;5;2003;19;2;47;6;4;1;5;3;1;2;7;0;0;-13;-13;0;0;13;6800;4000;5;3;3;0;8;0;0
801480;504763;202207;2;999;2;1967;54;5;52;5;3;1;1;3;1;2;1;2375;2375;1505;1505;1505;5;4;6575;4305;3;3;3;1;3;0;0
801486;508370;202207;2;999;2;1973;49;5;50;4;2;1;1;3;1;3;1;-13;3082,148539;2072;2072;2072;13;5; ; ;4;4;4;1;2;0;0
801498;540438;202207;1;999;1;1947;75;7;75;3;1;1;1;3;1;4;9;-13;2543,145056;2000;2000;2000;13;4;5856,640518;4450;4;4;4;1;1;0;0
801542;562148;202207;1;999;1;1992;30;3;30;1;0;0;5;1;1;5;1;-13;3357,372894;2200;2200;2200;13;5;3357,372894;2200;4;4;4;1;9;0;0
801545;599518;202207;2;999;5;2002;20;2;56;5;3;1;5;3;1;4;1;2100;2100;1800;1800;1800;5;4;9050;7780;4;4;4;0;10; ;0
801547;526760;202207;1;1;5;2006;16;2;52;5;3;1;5;3;1;5;7;-13;0;0;0;0;13;0;5109,090335;3250;2;2;2;1;2;0;0
801550;559347;202207;1;999;1;1974;48;5;48;5;3;1;1;3;1;3;10;1900;1900;1500;1500;1500;4;3;8200;6300;4;4;4;1;3; ;0
801556;581317;202207;1;999;1;1933;89;7;89;2;0;1;1;2;1;2;8;-13;978,0193674;851;851;851;13;2;1940,46162;1702;1;1;1;1;2;0;1
801559;591995;202207;2;999;2;1970;52;5;52;3;1;1;1;3;1;2;8;0;0;0;0;0;0;0;4523;3250;4;4;4;1;7;0;0
801564;555477;202207;1;999;5;2003;19;2;48;4;3;0;5;4;1;2;1;580;580;500;500;500;2;1;4136;3059;2;1;1;0;10; ;0
801568;518542;202207;1;999;1;1955;66;7;66;2;0;1;1;2;1;1;9;5500;5500;3500;3500;3500;11;7;7500;5100;6;6;6;1;7;0;0
801570;526616;202207;1;999;1;1989;32;3;32;1;0;0;5;1;2;1;1;2790;2790;2172;2172;2172;6;5;2790;2172;5;4;4;1;9;0;0
801574;512081;202207;2;999;5;1983;39;4;76;3;1;1;5;3;1;4;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;0;0
801577;543927;202207;1;999;1;1970;51;5;51;4;2;1;1;3;1;4;1;-13;3006,467404;2000;2000;2000;13;4;10331,01011;6800;2;2;2;1;2;0;0
801580;525558;202207;1;999;5;1992;30;3;67;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;4616;3266;3;8;1;0;2; ;0
801583;540960;202207;1;999;9;1977;45;5;79;3;0;1;5;2;1;5;13;-13;0;0;0;0;13;0;3131,560899;2400;2;1;1;0;2; ;0
